treatment,projection,file,amp,spike_frequency
enriched-environment,bnst,bla-bnstee008.adicht,50,0.6666666666666666
enriched-environment,bnst,bla-bnstee008.adicht,60,2.0
enriched-environment,bnst,bla-bnstee008.adicht,70,2.0
enriched-environment,bnst,bla-bnstee008.adicht,80,7.333333333333333
enriched-environment,bnst,bla-bnstee008.adicht,90,10.666666666666666
enriched-environment,bnst,bla-bnstee008.adicht,100,13.333333333333334
enriched-environment,bnst,bla-bnstee008.adicht,110,16.0
enriched-environment,bnst,bla-bnstee008.adicht,120,18.0
enriched-environment,bnst,bla-bnstee008.adicht,130,19.333333333333332
enriched-environment,bnst,bla-bnstee008.adicht,140,18.666666666666668
enriched-environment,bnst,bla-bnstee008.adicht,150,21.333333333333332
enriched-environment,bnst,bla-bnstee010.adicht,10,0.0
enriched-environment,bnst,bla-bnstee010.adicht,20,0.0
enriched-environment,bnst,bla-bnstee010.adicht,30,0.0
enriched-environment,bnst,bla-bnstee010.adicht,40,0.0
enriched-environment,bnst,bla-bnstee010.adicht,50,0.0
enriched-environment,bnst,bla-bnstee010.adicht,60,0.0
enriched-environment,bnst,bla-bnstee010.adicht,70,3.3333333333333335
enriched-environment,bnst,bla-bnstee010.adicht,80,6.0
enriched-environment,bnst,bla-bnstee010.adicht,90,8.0
enriched-environment,bnst,bla-bnstee010.adicht,100,9.333333333333334
enriched-environment,bnst,bla-bnstee010.adicht,110,11.333333333333334
enriched-environment,bnst,bla-bnstee010.adicht,120,14.0
enriched-environment,bnst,bla-bnstee010.adicht,130,13.333333333333334
enriched-environment,bnst,bla-bnstee010.adicht,140,12.0
enriched-environment,bnst,bla-bnstee010.adicht,150,17.333333333333332
enriched-environment,bnst,bla-bnstee011.adicht,10,0.0
enriched-environment,bnst,bla-bnstee011.adicht,20,0.0
enriched-environment,bnst,bla-bnstee011.adicht,30,0.0
enriched-environment,bnst,bla-bnstee011.adicht,40,1.3333333333333333
enriched-environment,bnst,bla-bnstee011.adicht,50,6.0
enriched-environment,bnst,bla-bnstee011.adicht,60,8.666666666666666
enriched-environment,bnst,bla-bnstee011.adicht,70,12.0
enriched-environment,bnst,bla-bnstee011.adicht,80,14.666666666666666
enriched-environment,bnst,bla-bnstee011.adicht,90,16.666666666666668
enriched-environment,bnst,bla-bnstee011.adicht,100,19.333333333333332
enriched-environment,bnst,bla-bnstee011.adicht,110,22.0
enriched-environment,bnst,bla-bnstee011.adicht,120,25.333333333333332
enriched-environment,bnst,bla-bnstee011.adicht,130,28.0
enriched-environment,bnst,bla-bnstee011.adicht,140,29.333333333333332
enriched-environment,bnst,bla-bnstee011.adicht,150,31.333333333333332
enriched-environment,nacc,bla-nacee001.adicht,10,0.0
enriched-environment,nacc,bla-nacee001.adicht,20,0.0
enriched-environment,nacc,bla-nacee001.adicht,30,0.0
enriched-environment,nacc,bla-nacee001.adicht,40,0.0
enriched-environment,nacc,bla-nacee001.adicht,50,0.0
enriched-environment,nacc,bla-nacee001.adicht,60,0.0
enriched-environment,nacc,bla-nacee001.adicht,70,2.6666666666666665
enriched-environment,nacc,bla-nacee001.adicht,80,6.666666666666667
enriched-environment,nacc,bla-nacee001.adicht,90,10.666666666666666
enriched-environment,nacc,bla-nacee001.adicht,100,14.666666666666666
enriched-environment,nacc,bla-nacee001.adicht,110,15.333333333333334
enriched-environment,nacc,bla-nacee001.adicht,120,17.333333333333332
enriched-environment,nacc,bla-nacee001.adicht,130,18.0
enriched-environment,nacc,bla-nacee001.adicht,140,19.333333333333332
enriched-environment,nacc,bla-nacee001.adicht,150,19.333333333333332
enriched-environment,nacc,bla-nacee003.adicht,10,0.0
enriched-environment,nacc,bla-nacee003.adicht,20,1.3333333333333333
enriched-environment,nacc,bla-nacee003.adicht,30,3.3333333333333335
enriched-environment,nacc,bla-nacee003.adicht,40,8.0
enriched-environment,nacc,bla-nacee003.adicht,50,12.0
enriched-environment,nacc,bla-nacee003.adicht,60,14.0
enriched-environment,nacc,bla-nacee003.adicht,70,18.666666666666668
enriched-environment,nacc,bla-nacee003.adicht,80,19.333333333333332
enriched-environment,nacc,bla-nacee003.adicht,90,22.666666666666668
enriched-environment,nacc,bla-nacee003.adicht,100,26.0
enriched-environment,nacc,bla-nacee003.adicht,110,28.666666666666668
enriched-environment,nacc,bla-nacee003.adicht,120,31.333333333333332
enriched-environment,nacc,bla-nacee003.adicht,130,32.666666666666664
enriched-environment,nacc,bla-nacee003.adicht,140,36.0
enriched-environment,nacc,bla-nacee003.adicht,150,34.666666666666664
enriched-environment,nacc,bla-nacee005.adicht,10,0.0
enriched-environment,nacc,bla-nacee005.adicht,20,0.0
enriched-environment,nacc,bla-nacee005.adicht,30,0.0
enriched-environment,nacc,bla-nacee005.adicht,40,0.0
enriched-environment,nacc,bla-nacee005.adicht,50,0.6666666666666666
enriched-environment,nacc,bla-nacee005.adicht,60,0.6666666666666666
enriched-environment,nacc,bla-nacee005.adicht,70,2.0
enriched-environment,nacc,bla-nacee005.adicht,80,4.666666666666667
enriched-environment,nacc,bla-nacee005.adicht,90,9.333333333333334
enriched-environment,nacc,bla-nacee005.adicht,100,12.0
enriched-environment,nacc,bla-nacee005.adicht,110,14.666666666666666
enriched-environment,nacc,bla-nacee005.adicht,120,17.333333333333332
enriched-environment,nacc,bla-nacee005.adicht,130,19.333333333333332
enriched-environment,nacc,bla-nacee005.adicht,140,20.666666666666668
enriched-environment,nacc,bla-nacee005.adicht,150,21.333333333333332
enriched-environment,nacc,bla-nacee007.adicht,10,6.0
enriched-environment,nacc,bla-nacee007.adicht,20,18.666666666666668
enriched-environment,nacc,bla-nacee007.adicht,30,31.333333333333332
enriched-environment,nacc,bla-nacee007.adicht,40,41.333333333333336
enriched-environment,nacc,bla-nacee007.adicht,50,52.0
enriched-environment,nacc,bla-nacee007.adicht,60,60.666666666666664
enriched-environment,nacc,bla-nacee007.adicht,70,64.0
enriched-environment,nacc,bla-nacee007.adicht,80,67.33333333333333
enriched-environment,nacc,bla-nacee007.adicht,90,71.33333333333333
enriched-environment,nacc,bla-nacee007.adicht,100,75.33333333333333
enriched-environment,nacc,bla-nacee007.adicht,110,65.33333333333333
enriched-environment,nacc,bla-nacee007.adicht,120,35.333333333333336
enriched-environment,nacc,bla-nacee007.adicht,130,22.666666666666668
enriched-environment,nacc,bla-nacee007.adicht,140,20.0
enriched-environment,nacc,bla-nacee007.adicht,150,20.0
enriched-environment,nacc,bla-nacee009.adicht,10,0.0
enriched-environment,nacc,bla-nacee009.adicht,20,0.0
enriched-environment,nacc,bla-nacee009.adicht,30,0.0
enriched-environment,nacc,bla-nacee009.adicht,40,0.0
enriched-environment,nacc,bla-nacee009.adicht,50,0.0
enriched-environment,nacc,bla-nacee009.adicht,60,0.0
enriched-environment,nacc,bla-nacee009.adicht,70,0.0
enriched-environment,nacc,bla-nacee009.adicht,80,0.0
enriched-environment,nacc,bla-nacee009.adicht,90,0.0
enriched-environment,nacc,bla-nacee009.adicht,100,0.0
enriched-environment,nacc,bla-nacee009.adicht,110,0.0
enriched-environment,nacc,bla-nacee009.adicht,120,0.6666666666666666
enriched-environment,nacc,bla-nacee009.adicht,130,1.3333333333333333
enriched-environment,nacc,bla-nacee009.adicht,140,4.0
enriched-environment,nacc,bla-nacee009.adicht,150,6.666666666666667
enriched-environment,nacc,bla-nacee010.adicht,10,0.0
enriched-environment,nacc,bla-nacee010.adicht,20,0.0
enriched-environment,nacc,bla-nacee010.adicht,30,0.0
enriched-environment,nacc,bla-nacee010.adicht,40,0.0
enriched-environment,nacc,bla-nacee010.adicht,50,0.0
enriched-environment,nacc,bla-nacee010.adicht,60,1.3333333333333333
enriched-environment,nacc,bla-nacee010.adicht,70,2.0
enriched-environment,nacc,bla-nacee010.adicht,80,2.0
enriched-environment,nacc,bla-nacee010.adicht,90,4.0
enriched-environment,nacc,bla-nacee010.adicht,100,8.666666666666666
enriched-environment,nacc,bla-nacee010.adicht,110,12.666666666666666
enriched-environment,nacc,bla-nacee010.adicht,120,15.333333333333334
enriched-environment,nacc,bla-nacee010.adicht,130,18.0
enriched-environment,nacc,bla-nacee010.adicht,140,22.0
enriched-environment,nacc,bla-nacee010.adicht,150,22.0
enriched-environment,nonspecific,eebla001.adicht,10,0.0
enriched-environment,nonspecific,eebla001.adicht,20,0.0
enriched-environment,nonspecific,eebla001.adicht,30,0.0
enriched-environment,nonspecific,eebla001.adicht,40,0.0
enriched-environment,nonspecific,eebla001.adicht,50,0.0
enriched-environment,nonspecific,eebla001.adicht,60,5.333333333333333
enriched-environment,nonspecific,eebla001.adicht,70,8.666666666666666
enriched-environment,nonspecific,eebla001.adicht,80,11.333333333333334
enriched-environment,nonspecific,eebla001.adicht,90,14.666666666666666
enriched-environment,nonspecific,eebla001.adicht,100,16.666666666666668
enriched-environment,nonspecific,eebla001.adicht,110,18.0
enriched-environment,nonspecific,eebla001.adicht,120,18.666666666666668
enriched-environment,nonspecific,eebla001.adicht,130,16.0
enriched-environment,nonspecific,eebla001.adicht,140,11.333333333333334
enriched-environment,nonspecific,eebla001.adicht,150,6.0
enriched-environment,nonspecific,eebla002.adicht,10,0.0
enriched-environment,nonspecific,eebla002.adicht,20,0.0
enriched-environment,nonspecific,eebla002.adicht,30,0.0
enriched-environment,nonspecific,eebla002.adicht,40,0.0
enriched-environment,nonspecific,eebla002.adicht,50,0.0
enriched-environment,nonspecific,eebla002.adicht,60,2.6666666666666665
enriched-environment,nonspecific,eebla002.adicht,70,8.0
enriched-environment,nonspecific,eebla002.adicht,80,13.333333333333334
enriched-environment,nonspecific,eebla002.adicht,90,14.666666666666666
enriched-environment,nonspecific,eebla002.adicht,100,20.666666666666668
enriched-environment,nonspecific,eebla002.adicht,110,22.666666666666668
enriched-environment,nonspecific,eebla002.adicht,120,26.666666666666668
enriched-environment,nonspecific,eebla002.adicht,130,29.333333333333332
enriched-environment,nonspecific,eebla002.adicht,140,28.0
enriched-environment,nonspecific,eebla002.adicht,150,20.666666666666668
enriched-environment,nonspecific,eebla004.adicht,10,0.0
enriched-environment,nonspecific,eebla004.adicht,20,0.0
enriched-environment,nonspecific,eebla004.adicht,30,0.0
enriched-environment,nonspecific,eebla004.adicht,40,0.0
enriched-environment,nonspecific,eebla004.adicht,50,0.0
enriched-environment,nonspecific,eebla004.adicht,60,0.0
enriched-environment,nonspecific,eebla004.adicht,70,2.0
enriched-environment,nonspecific,eebla004.adicht,80,3.3333333333333335
enriched-environment,nonspecific,eebla004.adicht,90,6.0
enriched-environment,nonspecific,eebla004.adicht,100,9.333333333333334
enriched-environment,nonspecific,eebla004.adicht,110,12.0
enriched-environment,nonspecific,eebla004.adicht,120,13.333333333333334
enriched-environment,nonspecific,eebla004.adicht,130,15.333333333333334
enriched-environment,nonspecific,eebla004.adicht,140,18.0
enriched-environment,nonspecific,eebla004.adicht,150,20.0
enriched-environment,nonspecific,eebla005.adicht,10,0.0
enriched-environment,nonspecific,eebla005.adicht,20,0.0
enriched-environment,nonspecific,eebla005.adicht,30,0.0
enriched-environment,nonspecific,eebla005.adicht,40,0.0
enriched-environment,nonspecific,eebla005.adicht,50,0.0
enriched-environment,nonspecific,eebla005.adicht,60,0.0
enriched-environment,nonspecific,eebla005.adicht,70,6.666666666666667
enriched-environment,nonspecific,eebla005.adicht,80,10.0
enriched-environment,nonspecific,eebla005.adicht,90,13.333333333333334
enriched-environment,nonspecific,eebla005.adicht,100,16.666666666666668
enriched-environment,nonspecific,eebla005.adicht,110,18.0
enriched-environment,nonspecific,eebla005.adicht,120,20.0
enriched-environment,nonspecific,eebla005.adicht,130,21.333333333333332
enriched-environment,nonspecific,eebla005.adicht,140,22.0
enriched-environment,nonspecific,eebla005.adicht,150,22.666666666666668
enriched-environment,nonspecific,eebla007.adicht,10,0.0
enriched-environment,nonspecific,eebla007.adicht,20,0.0
enriched-environment,nonspecific,eebla007.adicht,30,0.0
enriched-environment,nonspecific,eebla007.adicht,40,0.0
enriched-environment,nonspecific,eebla007.adicht,50,0.0
enriched-environment,nonspecific,eebla007.adicht,60,0.0
enriched-environment,nonspecific,eebla007.adicht,70,0.0
enriched-environment,nonspecific,eebla007.adicht,80,0.0
enriched-environment,nonspecific,eebla007.adicht,90,0.0
enriched-environment,nonspecific,eebla007.adicht,100,0.0
enriched-environment,nonspecific,eebla007.adicht,110,0.6666666666666666
enriched-environment,nonspecific,eebla007.adicht,120,0.0
enriched-environment,nonspecific,eebla007.adicht,130,1.3333333333333333
enriched-environment,nonspecific,eebla007.adicht,140,6.0
enriched-environment,nonspecific,eebla007.adicht,150,8.0
enriched-environment,nonspecific,eebla009.adicht,10,0.0
enriched-environment,nonspecific,eebla009.adicht,20,0.0
enriched-environment,nonspecific,eebla009.adicht,30,0.0
enriched-environment,nonspecific,eebla009.adicht,40,0.0
enriched-environment,nonspecific,eebla009.adicht,50,0.0
enriched-environment,nonspecific,eebla009.adicht,60,0.0
enriched-environment,nonspecific,eebla009.adicht,70,0.0
enriched-environment,nonspecific,eebla009.adicht,80,0.0
enriched-environment,nonspecific,eebla009.adicht,90,0.6666666666666666
enriched-environment,nonspecific,eebla009.adicht,100,1.3333333333333333
enriched-environment,nonspecific,eebla009.adicht,110,2.6666666666666665
enriched-environment,nonspecific,eebla009.adicht,120,4.666666666666667
enriched-environment,nonspecific,eebla009.adicht,130,7.333333333333333
enriched-environment,nonspecific,eebla009.adicht,140,9.333333333333334
enriched-environment,nonspecific,eebla009.adicht,150,11.333333333333334
enriched-environment,nonspecific,eebla014.adicht,10,0.0
enriched-environment,nonspecific,eebla014.adicht,20,0.0
enriched-environment,nonspecific,eebla014.adicht,30,0.6666666666666666
enriched-environment,nonspecific,eebla014.adicht,40,2.6666666666666665
enriched-environment,nonspecific,eebla014.adicht,50,8.0
enriched-environment,nonspecific,eebla014.adicht,60,15.333333333333334
enriched-environment,nonspecific,eebla014.adicht,70,22.666666666666668
enriched-environment,nonspecific,eebla014.adicht,80,26.666666666666668
enriched-environment,nonspecific,eebla014.adicht,90,34.0
enriched-environment,nonspecific,eebla014.adicht,100,36.666666666666664
enriched-environment,nonspecific,eebla014.adicht,110,38.0
enriched-environment,nonspecific,eebla014.adicht,120,30.0
enriched-environment,nonspecific,eebla014.adicht,130,18.0
enriched-environment,nonspecific,eebla014.adicht,140,10.666666666666666
enriched-environment,nonspecific,eebla014.adicht,150,7.333333333333333
enriched-environment,nonspecific,eebla015.adicht,10,0.0
enriched-environment,nonspecific,eebla015.adicht,20,0.0
enriched-environment,nonspecific,eebla015.adicht,30,0.0
enriched-environment,nonspecific,eebla015.adicht,40,0.0
enriched-environment,nonspecific,eebla015.adicht,50,0.0
enriched-environment,nonspecific,eebla015.adicht,60,0.0
enriched-environment,nonspecific,eebla015.adicht,70,0.0
enriched-environment,nonspecific,eebla015.adicht,80,0.0
enriched-environment,nonspecific,eebla015.adicht,90,0.0
enriched-environment,nonspecific,eebla015.adicht,100,0.0
enriched-environment,nonspecific,eebla015.adicht,110,0.0
enriched-environment,nonspecific,eebla015.adicht,120,10.0
enriched-environment,nonspecific,eebla015.adicht,130,10.0
enriched-environment,nonspecific,eebla015.adicht,140,20.0
enriched-environment,nonspecific,eebla015.adicht,150,20.0
enriched-environment,nonspecific,eebla018.adicht,10,2.0
enriched-environment,nonspecific,eebla018.adicht,20,6.666666666666667
enriched-environment,nonspecific,eebla018.adicht,30,10.0
enriched-environment,nonspecific,eebla018.adicht,40,12.0
enriched-environment,nonspecific,eebla018.adicht,50,18.0
enriched-environment,nonspecific,eebla018.adicht,60,18.666666666666668
enriched-environment,nonspecific,eebla018.adicht,70,26.666666666666668
enriched-environment,nonspecific,eebla018.adicht,80,26.666666666666668
enriched-environment,nonspecific,eebla018.adicht,90,28.0
enriched-environment,nonspecific,eebla018.adicht,100,29.333333333333332
enriched-environment,nonspecific,eebla018.adicht,110,26.666666666666668
enriched-environment,nonspecific,eebla018.adicht,120,18.0
enriched-environment,nonspecific,eebla018.adicht,130,12.666666666666666
enriched-environment,nonspecific,eebla018.adicht,140,8.666666666666666
enriched-environment,nonspecific,eebla018.adicht,150,3.3333333333333335
enriched-environment,nonspecific,eebla019.adicht,10,0.0
enriched-environment,nonspecific,eebla019.adicht,20,0.0
enriched-environment,nonspecific,eebla019.adicht,30,0.0
enriched-environment,nonspecific,eebla019.adicht,40,0.0
enriched-environment,nonspecific,eebla019.adicht,50,1.0
enriched-environment,nonspecific,eebla019.adicht,60,4.0
enriched-environment,nonspecific,eebla019.adicht,70,6.0
enriched-environment,nonspecific,eebla019.adicht,80,10.0
enriched-environment,nonspecific,eebla019.adicht,90,12.0
enriched-environment,nonspecific,eebla019.adicht,100,17.0
enriched-environment,nonspecific,eebla019.adicht,110,20.0
enriched-environment,nonspecific,eebla019.adicht,120,19.0
enriched-environment,nonspecific,eebla019.adicht,130,17.0
enriched-environment,nonspecific,eebla019.adicht,140,17.0
enriched-environment,nonspecific,eebla019.adicht,150,13.0
enriched-environment,nonspecific,eebla020.adicht,10,0.0
enriched-environment,nonspecific,eebla020.adicht,20,0.0
enriched-environment,nonspecific,eebla020.adicht,30,0.0
enriched-environment,nonspecific,eebla020.adicht,40,1.3333333333333333
enriched-environment,nonspecific,eebla020.adicht,50,4.666666666666667
enriched-environment,nonspecific,eebla020.adicht,60,8.666666666666666
enriched-environment,nonspecific,eebla020.adicht,70,10.0
enriched-environment,nonspecific,eebla020.adicht,80,9.333333333333334
enriched-environment,nonspecific,eebla020.adicht,90,4.666666666666667
enriched-environment,nonspecific,eebla020.adicht,100,4.666666666666667
enriched-environment,nonspecific,eebla020.adicht,110,3.3333333333333335
enriched-environment,nonspecific,eebla020.adicht,120,2.6666666666666665
enriched-environment,nonspecific,eebla020.adicht,130,2.0
enriched-environment,nonspecific,eebla020.adicht,140,2.0
enriched-environment,nonspecific,eebla020.adicht,150,2.0
